0.4528 	 HH 
0.6618 	 KD 
0.6618 	 HH 
0.8707 	 SD 
0.8824 	 HH 
1.3119 	 HH 
1.5093 	 KD 
1.5209 	 HH 
1.7415 	 HH 
1.9389 	 KD 
1.9505 	 HH 
2.1595 	 HH 
2.1595 	 KD 
2.3800 	 HH 
2.5890 	 HH 
2.5890 	 SD 
2.7980 	 KD 
2.8096 	 HH 
3.0186 	 KD 
3.0186 	 HH 
3.2276 	 KD 
3.2392 	 HH 
3.4366 	 KD 
3.4482 	 HH 
3.6688 	 HH 
3.8777 	 HH 
4.0867 	 HH 
4.0867 	 KD 
4.2957 	 SD 
4.3073 	 HH 
4.5163 	 HH 
4.7369 	 HH 
4.9459 	 HH 
4.9459 	 KD 
5.1664 	 HH 
5.3754 	 KD 
5.3754 	 HH 
5.5844 	 KD 
5.5960 	 HH 
5.8050 	 HH 
6.0256 	 HH 
6.2229 	 KD 
6.2346 	 HH 
6.4435 	 SD 
6.4551 	 HH 
6.6525 	 KD 
6.6525 	 HH 
